subname,category,name,description,location,address,neighborhood,latitude,longitude,time_of_day,link,start_date_sort,start_date,end_date,display_date,cost,image,id
None,Attractions,Swan Boats,The Swan Boats operate in a pond in the Public Garden. The Swan Boats have been in operation since 1877 and have since become a cultural icon for the city.,None,"4 Charles St. South, Boston",Back Bay,42.354019,-71.069645,Day,https://swanboats.com,4/14/18,4/14/18,9/3/18,"Mon., April 14 – Mon., September 3<br>10am – 4pm/5pm",$,swan-boats.png,1
None,"Markets, Arts/Entertainment, Food",SoWa Open Market,"The market features more than 150 local artisans, farmers, and chefs; a dozen iconic food trucks; and live music every weekend.",None,"460 Harrison Ave., Boston",South End,42.3422359,-71.064277,Day,http://www.sowaboston.com/sowa-open-market/,5/1/18,5/1/18,10/31/18,"May – October<br>Sundays, 10am – 4pm",Free,sowa.png,2
None,Activities/Sports,Yoga in the Park,Weekly outdoor yoga classes in Baxter Riverfront Park.,None,"Baxter Riverfront Park Amphitheater, Somerville",Somerville,42.396221,-71.08063,Day,http://www.assemblyrow.com/play/yoga,5/5/18,5/5/18,9/29/18,"May 5 – September 29<br>Saturdays, 9am – 10am",Free,yoga.jpg,3
None,Attractions,Boston Harbor Cruises,"Various boat tours are available, including those on Harbor Cruise, the USS Constitution, Sunset Cruise, and others. Times may vary during the season.",None,"1 Long Wharf, Boston",Downtown,42.3597217,-71.05065,Day,http://www.bostonharborcruises.com/codzilla/,6/1/18,6/1/18,12/31/18,June – December,$,codzilla.png,4
None,Activities/Sports,Franklin Park Yoga with Linda Wellness Warrior,Outdoor yoga series under the trees on School Master Hill.,None,"1 Circuit Dr., Boston",Roxbury,42.30336,-71.09552,Day,https://www.eventbrite.com/e/franklin-park-yoga-with-linda-wellness-warrior-tickets-45996721432,6/2/18,6/2/18,9/22/18,"June 2 – September 22<br>Saturdays, 9am – 10:15am",Free,wellness.jpg,5
None,Arts/Entertainment,Concerts in the Courtyard,"The courtyard of the Central Library in Copley Square is filled with music during free, one-hour concerts throughout the summer.",None,"652 Boylston St., Boston",Back Bay,42.349423,-71.077976,"Day, Night",https://www.mfa.org/programs/music?gclid=EAIaIQobChMIwbnItPrO2wIVFndeCh3TCASREAAYASAAEgKAQfD_BwE,6/8/18,6/8/18,8/31/18,"Fri., June 8 – Tues., August 31<br>Wednesdays, 6pm<br>Fridays, 12:30pm",Free,bpl.png,6
None,"Arts/Entertainment, Museums",Music at the Mansion,"Live classical and traditional music in a historical, intimate Carriage House Concert at Gore Place.",None,"52 Gore St., Waltham",Waltham,42.373499,-71.211731,Night,http://goreplace.org/programs/concerts-gore-place/,6/12/18,6/12/18,9/1/18,"Tuesdays, 7:30pm",$,gore-place.jpg,7
None,Celebration/Festival,Rose Garden Party,"Live entertainment, painting, and activities at Keller Rose Garden in the Fenway.",None,"73 Park Dr., Boston",Fenway/Kenmore,42.341941,-71.094954,Night,https://www.boston.gov/departments/parks-and-recreation/rose-garden-party,6/13/18,6/13/18,None,"Wed., June 13, 5:30pm – 8pm",Free,rose.jpg,8
None,"Celebration/Festival, Arts/Entertainment",Boston Tango Festival,"Four days of dance classes and live music, with a spectacular tango show on Saturday.",None,"16 Bow St., Somerville",Somerville,42.380719,-71.097209,Night,http://www.bostontangofestival.org/,6/13/18,6/13/18,6/17/18,"Wed., June 13 – Sun., June 17",$,tango.jpg,9
None,"Celebration/Festival, Arts/Entertainment",Boston Tango Festival,"Four days of dance classes and live music, with a spectacular tango show on Saturday.",None,"30 Washington St., Somerville",Somerville,42.381421,-71.082099,Night,http://www.bostontangofestival.org/,6/13/18,6/13/18,6/17/18,"Wed., June 13 - Sun., June 17",$,tango.jpg,10
